noun,syroj,mokryj,colour,code
земля,55379,13888,#a55a3a,space
масса,20431,131,#3dfd57,quant:max
вид,20250,999,#b87649,ment
место,13678,12946,#efdb0b,tool
погода,13541,1772,#37d248,weather
луг,10034,3358,#a55a3a,space
глина,8909,4651,#b584b2,stuff
вода,8898,176,#407762,stuff/liq
воздух,7650,522,#a55a3a,space
ветер,6188,2548,#37d248,weather
почва,5560,938,#e00175,stuff/space
кожа,5377,1104,#b584b2,stuff
песок,5105,11426,#4e4c52,stuff/food
лес,4703,1533,#10c929,form
трава,4548,15054,#be10f4,plant
подвал,4283,46,#90e288,room
стена,4261,1900,#d9932a,form/quant:max
дрова,4114,374,black,other
туман,4039,955,#37d248,weather
ткань,3703,952,#b584b2,stuff
помещение,3485,130,#7b8438,put
ночь,3063,458,#df4ea2,time
состояние,2795,2251,#ec3b40,psych/physiol
зерно,2581,116,#3f2ae1,food
дерево,2295,3009,#b584b2,stuff
штукатурка,2201,671,#b584b2,stuff
мгла,2176,387,#99046e,light/neg
уголь,2091,216,#efdb0b,tool
лист,1912,4988,#b43b8e,doc
снег,1773,40380,#37d248,weather
картошка,1766,74,#be10f4,plant
холод,1683,344,#b92b87,manif:emot
зола,1679,102,#b584b2,stuff
комната,1662,40,#90e288,room
запах,1495,112,#20d0a8,smell
участок,1446,142,#26f855,org
грунт,1397,1016,#b584b2,stuff
низина,1379,94,#a55a3a,space
берег,1361,342,#a55a3a,space
древесина,1319,241,#b584b2,stuff
кирпич,1277,116,#0512ee,sign
окоп,1273,298,#281004,space/constr
резина,1208,103,#b584b2,stuff
мох,1197,786,#be10f4,plant
тьма,1155,582,#31def5,numcoll
корень,1099,110,black,other
соль,1079,332,#b584b2,stuff
лето,1051,622,#00b1f2,time/time:season
год,1048,229,#7dcbd5,time:age
осень,1030,661,#00b1f2,time/time:season
день,1026,573,#3cfbec,time:period
ил,1016,116,#b584b2,stuff
доска,1014,2356,#efdb0b,tool
камень,1000,3848,#627f1a,образование
хлеб,986,454,#aeff20,poss$
время,985,320,#3cfbec,time:period
угол,966,254,#a55a3a,space
темнота,944,286,#e0f506,hum
шкура,926,197,#e0f506,hum
яма,894,154,#35fce7,room/constr:@build
пятно,844,3960,black,other
полено,839,230,black,other
солома,836,1237,#1d6ab8,food:fodder
одежда,818,9684,#b584b2,stuff
овраг,807,52,#a55a3a,space
утро,783,156,#0d518d,action
торф,751,176,#b584b2,stuff
шерсть,709,1530,#b584b2,stuff
тряпка,684,15560,#e0f506,hum
пол,675,1849,#a55a3a,space
ветка,661,2356,#a55a3a,space
вечер,633,111,#0d518d,action
бревно,629,1134,#efdb0b,tool
скала,628,641,#a55a3a,space
белье,613,4661,black,other
образец,597,77,#e0f506,hum
свежесть,581,53,#64ba7c,weather/temper
капуста,575,44,#be10f4,plant
поле,530,1268,#a55a3a,space
листва,526,2295,black,other
небо,506,848,#a55a3a,space
холодок,496,66,black,other
бумага,485,1253,#b584b2,stuff
тень,482,42,#e0f506,hum
грязь,440,818,#b584b2,stuff
мрак,429,43,#99046e,light/neg
весна,395,249,#00b1f2,time/time:season
поверхность,393,684,#a55a3a,space
кора,391,590,#b584b2,stuff
шинель,382,2117,#547d5b,tool:cloth
дом,371,144,#26f855,org
дорога,370,2044,#2b6bb7,move
зима,366,182,#00b1f2,time/time:season
железо,359,412,#b584b2,stuff
шелк,358,97,#b584b2,stuff
сумерки,351,129,#8ee413,weather/light
простыня,343,2489,#f1774a,tool:@bedding/linen
яблоко,338,98,#a5606f,fruit/food
луговина,334,41,#a55a3a,space
облако,327,332,black,other
сумрак,322,48,#5d651e,light
туча,309,320,#3dfd57,quant:max
пар,307,167,#b584b2,stuff
металл,303,42,#b584b2,stuff
тундра,296,434,#a55a3a,space
болото,295,384,#a55a3a,space
хвоя,292,372,black,other
сено,283,514,#5a143d,stuff/food:fodder
темень,283,90,#99046e,light/neg
постель,276,226,#459c81,tool:@bedding
навоз,274,144,#b584b2,stuff
овчина,272,196,#b584b2,stuff
сук,262,245,black,other
человек,260,943,#e0f506,hum
бетон,259,415,#b584b2,stuff
препарат,259,114,#b584b2,stuff
табак,256,71,#be10f4,plant
полотенце,252,9187,#5e0bba,linen/tool
шахта,244,55,#a55a3a,space
зелень,239,803,#3f2ae1,food
опилки,238,313,black,other
условие,237,379,#18ce39,причина
кусок,235,271,black,other
ком,235,483,black,other
улица,234,2046,#a55a3a,space
сапог,232,2165,#067059,tool:cloth:@boot
товар,231,48,#3b4c0f,thing
дорожка,225,1050,#efdb0b,tool
кустарник,220,217,#be10f4,plant
скамья,218,400,#9f3d04,tool:furn/tool
асфальт,214,8151,#a55a3a,space
склон,211,72,#a55a3a,space
тип,204,442,#e0f506,hum
портянка,201,905,#547d5b,tool:cloth
голос,200,69,#b87649,ment
опилка,197,252,black,other
тропинка,193,162,#a55a3a,space
слой,191,124,#7684f1,group
водоросль,187,181,#be10f4,plant
известка,182,66,#b584b2,stuff
глаз,179,7363,black,other
тайга,179,52,#a55a3a,space
хворост,178,99,#f413a3,food/изделие
грудь,174,414,black,other
сад,173,917,#26f855,org
скамейка,173,689,#9f3d04,tool:furn/tool
рука,172,7897,#e0f506,hum
ветвь,166,1373,black,other
лицо,163,11559,#a55a3a,space
заросль,161,187,#a55a3a,space
траншея,158,202,#281004,space/constr
комок,158,387,black,other
ствол,153,904,#efdb0b,tool
сахар,152,179,#b584b2,stuff
дно,152,252,black,other
рассвет,148,72,#df4ea2,time
часть,144,446,#4378e4,poss
гниль,142,2256,#4e4c52,stuff/food
город,139,222,#a55a3a,space
стебель,139,138,black,other
пласт,139,52,black,other
след,138,4097,#d28c72,остаток
снежок,131,588,#efdb0b,tool
хлопья,126,1986,#4e4c52,stuff/food
он,123,193,#6a49e5,hum:kin$/hum
вата,122,939,#b584b2,stuff
рожь,122,212,#1d04bd,fruit
ягода,121,49,#e0f506,hum
тело,119,2713,#3b4c0f,thing
степь,116,200,#a55a3a,space
щепка,112,81,black,other
валежник,110,56,black,other
клок,109,162,black,other
пленка,106,139,#b584b2,stuff
пелена,100,343,#b584b2,stuff
волос,96,12148,#b584b2,stuff
звук,95,57,#e51e30,speech?
шпала,93,42,#0512ee,sign
стенка,92,122,#42c616,tool:furn
аллея,88,164,#a55a3a,space
крупа,88,64,#b584b2,stuff
карцер,87,48,#90e288,room
тротуар,84,1697,#a55a3a,space
береза,83,156,#be10f4,plant
изба,82,59,#a36b70,constr:@build
щель,81,49,#281004,space/constr
суглинок,80,92,#b584b2,stuff
валенок,79,863,#067059,tool:cloth:@boot
палуба,78,1212,#928a92,constr:настил
палатка,77,140,#bc5b0a,constr
куст,76,2258,#26f855,org
отходы,75,110,black,other
лестница,74,111,#bc5b0a,constr
язык,73,478,#e0f506,hum
мостовая,73,1655,#a55a3a,space
пыль,72,983,#b584b2,stuff
плащ,71,2786,#547d5b,tool:cloth
нога,71,3671,black,other
брюки,69,665,#547d5b,tool:cloth
сосна,68,294,#be10f4,plant
я,67,89,#e0f506,hum
курица,67,6331,#3f2ae1,food
тяжесть,67,69,#3b4c0f,thing
рубаха,65,1642,#547d5b,tool:cloth
листок,65,75,#b43b8e,doc
городок,64,49,#efdb0b,tool
сукно,64,227,#b584b2,stuff
порох,63,89,#e0f506,hum
метель,62,406,#37d248,weather
плита,61,401,#a55a3a,space
пальто,60,1066,#547d5b,tool:cloth
перила,60,146,#efdb0b,tool
солончак,60,1836,black,other
полоса,59,567,#3cfbec,time:period
отпечаток,58,145,#a55a3a,space
подстилка,57,108,#b584b2,stuff
чаща,55,54,#3dfd57,quant:max
темя,55,47,black,other
газета,53,356,#03fc17,text/media
платье,53,3101,#547d5b,tool:cloth
сигарета,52,40,#efdb0b,tool
куча,51,83,#3dfd57,quant:max
тропа,51,202,#a55a3a,space
палец,51,2273,#efdb0b,tool
копна,50,112,black,other
балка,50,66,#a55a3a,space
цветок,50,486,#be10f4,plant
тряпочка,49,752,black,other
конец,49,279,#3461d6,be:disapp
кочка,49,165,#a55a3a,space
брезент,48,946,#b584b2,stuff
они,47,46,black,other
ботинок,47,850,#067059,tool:cloth:@boot
обувь,47,627,black,other
папироса,46,40,#efdb0b,tool
она,46,46,black,other
работа,45,349,#8b787a,workart/workmus/workdram/workcin/text
мешок,45,1267,#e0f506,hum
голова,44,3840,#e0f506,hum
баба,44,84,#e0f506,hum
даль,44,46,#a55a3a,space
пень,42,41,#e0f506,hum
чернота,41,44,black,other
пеленка,40,1012,#7d644f,linen
нефть,54947,10,#407762,stuff/liq
материал,52172,10,#b584b2,stuff
вес,35400,10,#7af917,param
протеин,32748,10,#b584b2,stuff
продукт,18444,10,#3f2ae1,food
мясо,15404,10,#b584b2,stuff
вещество,12684,10,#b584b2,stuff
руда,9622,10,#b584b2,stuff
клейковина,7955,10,#b584b2,stuff
белок,7790,10,#ecd222,stuff/thing
яйцо,6872,10,#3f2ae1,food
клетчатка,5474,10,#b584b2,stuff
молоко,5305,10,#407762,stuff/liq
рыба,4891,10,#99d6fc,text
жир,4802,10,#b584b2,stuff
бензол,4399,10,#407762,stuff/liq
картофель,3075,10,#be10f4,plant
овощ,2919,10,black,other
биомасса,2367,10,black,other
дуб,2347,10,#e0f506,hum
платина,2145,10,#b584b2,stuff
землянка,2052,10,#90e288,room
могила,1946,10,#e0f506,hum
климат,1823,10,#04c156,asp:weather
тесто,1765,10,#b584b2,stuff
форма,1648,10,#efdb0b,tool
газ,1405,10,#b584b2,stuff
произведение,1366,10,#8b787a,workart/workmus/workdram/workcin/text
свекла,1351,10,#be10f4,plant
крахмал,1314,10,#b584b2,stuff
прохлада,1301,10,#983e1e,temper
каземат,1292,10,#90e288,room
смесь,1245,10,#b584b2,stuff
камера,1215,10,#a55a3a,space
животное,1140,10,#2ba0bd,hum$
каучук,1139,10,#b584b2,stuff
факт,1126,10,#b87649,ment
масло,1125,10,#b584b2,stuff
печень,991,10,black,other
морковь,925,10,#be10f4,plant
квартира,921,10,#a55a3a,space
кокон,882,10,black,other
бор,870,10,#b584b2,stuff
сок,828,10,#8f3c7b,stuff/food/liq
спирт,819,10,#b584b2,stuff
пища,779,10,#3f2ae1,food
ущелие,772,10,black,other
погреб,769,10,#a6f046,constr/room
окатыш,749,10,black,other
коридор,737,10,#a55a3a,space
лук,679,10,#be10f4,plant
местообитание,666,10,black,other
желток,662,10,#4e4c52,stuff/food
кость,643,10,#b584b2,stuff
подземелье,638,10,#37ad14,room/space
антрацен,617,10,black,other
картофелина,614,10,#a5606f,fruit/food
плод,601,10,#c790e7,результат?
прочность,593,10,black,other
фрукт,589,10,#9a2754,hum$@
осадок,580,10,#b584b2,stuff
известняк,566,10,#b584b2,stuff
гриб,566,10,#be10f4,plant
местность,553,10,#a55a3a,space
навеска,534,10,black,other
говядина,522,10,#4e4c52,stuff/food
хлопок,511,10,#60bdd3,impact
темница,493,10,black,other
матерьял,454,10,black,other
барак,450,10,#f89bb5,constr:@hut
экстракт,448,10,#99d6fc,text
ветерок,439,10,black,other
жом,432,10,#b584b2,stuff
магнезит,428,10,black,other
пещера,423,10,#a55a3a,space
земл,409,10,black,other
бензин,407,10,#407762,stuff/liq
тишина,407,10,#815b13,sound/neg
полумрак,394,10,#5d651e,light
конденсат,394,10,#b584b2,stuff
топливо,391,10,#b584b2,stuff
печенка,387,10,#4e4c52,stuff/food
доломит,384,10,black,other
фенол,370,10,#b584b2,stuff
свод,360,10,#99d6fc,text
тюрьма,359,10,#bc5b0a,constr
смола,353,10,#e0f506,hum
кровь,351,10,#407762,stuff/liq
фарш,333,10,#4e4c52,stuff/food
мать,328,10,#e0f506,hum
кислота,306,10,#7b3b9b,taste
концентрат,298,10,#b584b2,stuff
долина,293,10,#a55a3a,space
эмаль,283,10,#b584b2,stuff
мука,283,10,#b584b2,stuff
семя,282,10,#b584b2,stuff
глубина,276,10,#e81c9c,degr
алмаз,265,10,#f5e528,tool:instr
известь,257,10,#b584b2,stuff
дыхание,255,10,#eeef33,physiol
эфир,241,10,#b584b2,stuff
полутьма,240,10,#5d651e,light
сережка,240,10,#9b99a1,access
понижение,235,10,black,other
блиндаж,235,10,#bc5b0a,constr
воск,232,10,#b584b2,stuff
рис,230,10,#be10f4,plant
данные,229,10,#fcc55e,humq
клубень,222,10,black,other
пиломатериал,222,10,black,other
сало,219,10,#b584b2,stuff
матерйал,219,10,black,other
кофе,217,10,#be10f4,plant
резеда,215,10,#be10f4,plant
ложбина,212,10,#a55a3a,space
атмосфера,212,10,#6ac6d4,unit
дым,211,10,#b584b2,stuff
лужайка,210,10,#a55a3a,space
канава,200,10,#a55a3a,space
